Id,Label,timeset,Size,Description,cat,size (s/m/l),start,end,weight,Data Source,Data Dictionary,Pub1,Pub2,Pub3
0,CDC Opioid Mortality,,1,"A dataset of drug poisoning deaths at the national, state, and county levels as reported by mortality medical coders, nosologists, and other individuals responsible for processing vital records.",Harms,S,1999,2018,1,https://www.cdc.gov/nchs/data-visualization/drug-poisoning-mortality/,,"Cornaggia, K. R., Hund, J., Nguyen, G., & Ye, Z. (2020). Opioid Crisis Effects On Municipal Finance. SSRN, (3448082). Retrieved from https://papers.ssrn.com/abstract=3448082","Anders, J. (2019). Medicaid, Marijuana and Opioids: Is Prescription Access to Blame? Rochester, NY. Retrieved from https://papers.ssrn.com/abstract=3247989","Deiana, C., Giua, L., & Nisticò, R. (2019). The Economics Behind the Epidemic: Afghan Opium Price and Prescription Opioids in the US. Rochester, NY. Retrieved from https://papers.ssrn.com/abstract=3352893"
1,TEDS admissions,,3,A national data system of annual admissions to substance abuse treatment facilities because substance abuse treatment programs are required by state laws to report their publically-funded admissions to the state. Some states also collect privately-funded admissions from facilities that receive public funding.,Harms,L,1992,2017,3,https://www.datafiles.samhsa.gov/study-series/treatment-episode-data-set-admissions-teds-nid13518;,http://samhda.s3-us-gov-west-1.amazonaws.com/s3fs-public/field-uploads-protected/studies/TEDS-A-2017/TEDS-A-2017-datasets/TEDS-A-2017-DS0001/TEDS-A-2017-DS0001-info/TEDS-A-2017-DS0001-info-codebook.pdf,"Smith, R. A. (2020). The Effects of Medical Marijuana Dispensaries on Adverse Opioid Outcomes. Economic Inquiry, 58(2), 569–588. https://doi.org/10.1111/ecin.12825","Meinhofer, A., & Witman, A. E. (2018). The role of health insurance on treatment for opioid use disorders: Evidence from the Affordable Care Act Medicaid expansion. Journal of Health Economics, 60, 177–197. https://doi.org/10.1016/j.jhealeco.2018.06.004","Powell, D., Pacula, R. L., & Jacobson, M. (2015). Do Medical Marijuana Laws Reduce Addictions and Deaths Related to Pain Killers? National Bureau of Economic Research Working Paper Series, 21345. https://doi.org/10.3386/w21345"
2,NAS,,1,A nationally representative survey of U.S. adults (age 18+) involving alcohol questions and repeated at approximately 5-year intervals since the 1960s.,Harms,S,1979,2015,1,http://arg.org/nas-datasets/; http://arg.org/center/national-alcohol-surveys/,,"Karriker-Jaffe, K. J., Subbaraman, M. S., Greenfield, T. K., & Kerr, W. C. (2018). Contribution of alcohol and drug co-use to substance use problems: Data from a nationally-representative sample of US adults who have never been to treatment. NAD Nordic Studies on Alcohol and Drugs, 35(6), 428–442. https://doi.org/10.1177/1455072518806122","Parish, W. J., Aldridge, A., Allaire, B., Ekwueme, D. U., Poehler, D., Guy, G. P., Thomas, C. C., & Trogdon, J. G. (2017). A new methodological approach to adjust alcohol exposure distributions to improve the estimation of alcohol-attributable fractions. Addiction, 112(11), 2053–2063. https://doi.org/10.1111/add.13880",
3,NSDUH,,2,"A yearly national survey since 1971 about tobacco, alcohol, and drug use, mental health, and other health-related issues.",Harms,M,1971,2018,2,https://nsduhweb.rti.org/respweb/homepage.cfm,https://pdas.samhsa.gov/#/survey/N-SSATS-2018-DS0001,"Mulligan, C. B. (2020). Prices and Federal Policies in Opioid Markets. https://doi.org/10.3386/w26812","Powell, D., Alpert, A., & Pacula, R. L. (2019). A Transitioning Epidemic: How The Opioid Crisis Is Driving The Rise In Hepatitis C. Health Affairs, 38(2), 287–294. https://doi.org/10.1377/hlthaff.2018.05232","Beheshti, D. (2019). Adverse health effects of abuse?deterrent opioids: Evidence from the reformulation of OxyContin. Health Economics, 28(12), 1449–1461. https://doi.org/10.1002/hec.3944"
4,NPDS,,3,A national dataset of the number of cases involving human or animal poisioning or exposure to poision as reported by poison centers in the U.S.,Harms,L,2011,2019,3,https://aapcc.org/track/opioids; https://piper.filecamp.com/uniq/VvF2ELEL6RwIOqVP.pdf; https://piper.filecamp.com/uniq/DRw83uhg79UetPPw.pdf; https://aapcc.org/data-system; https://piper.filecamp.com/uniq/meDKF2EpE2jsmTOs.pdf (used to calculate # of records; 5753 cases per day times 365),,"Eluri, M., Spiller, H. A., Casavant, M. J., Chounthirath, T., Conner, K. A., & Smith, G. A. (2018). Analgesic-related medication errors reported to US poison control centers. Pain Medicine (United States), 19(12), 2357–2370. https://doi.org/10.1093/pm/pnx272","Sheridan, D. C., Laurie, A., Hendrickson, R. G., Fu, R., Kea, B., & Horowitz, B. Z. (2016). Association of Overall Opioid Prescriptions on Adolescent Opioid Abuse. Journal of Emergency Medicine, 51(5), 485–490. https://doi.org/10.1016/j.jemermed.2016.06.049","Allen, J. D., Casavant, M. J., Spiller, H. A., Chounthirath, T., Hodges, N. L., & Smith, G. A. (2017). Prescription opioid exposures among children and adolescents in the United States: 2000-2015. Pediatrics, 139(4). https://doi.org/10.1542/peds.2016-3382"
5,MEPS,,3,"A national survey of families and individuals, their medical providers, and employers across the U.S. with questions about specific health services, frequency of use of health services, cost of health services, how the health services are pair for, and the cost, scope, and breadth of health insurance held by and available to U.S. workers.",Pharma,L,1996,2018,3,https://www.meps.ahrq.gov/mepsweb/about_meps/survey_back.jsp;,,"Alpert, A. E., Evans, W. N., Lieber, E. M. J., & Powell, D. (2019). Origins of the Opioid Crisis and Its Enduring Impacts. https://doi.org/10.3386/w26500","Soni, A. (2019). Health Insurance, Price Changes, and the Demand for Pain Relief Drugs: Evidence from Medicare Part D. Rochester, NY. Retrieved from https://papers.ssrn.com/abstract=3268968","Alpert, A., Powell, D., & Pacula, R. L. (2018). Supply-Side Drug Policy in the Presence of Substitutes: Evidence from the Introduction of Abuse-Deterrent Opioids. American Economic Journal: Economic Policy, 10(4), 1–35. https://doi.org/10.1257/pol.20170082"
6,N-SSATs,,2,"An annual census of all treatment facilities listed on the I-BHS, an electronic master list of all organized substance abuse treatment faciliies known to the SAMHSA. Information on location, organization, structure, services, and utilization of substance abuse treatment facilities in the U.S. is collected.",Jobs,M,1997,2018,2,https://wwwdasis.samhsa.gov/dasis2/nssats.htm;,https://wwwdasis.samhsa.gov/dasis2/nssats/NSSATS_2018/NSSATS-2018-C.pdf,"Grooms, J., & Ortega, A. (2019). Examining Medicaid Expansion and the Treatment of Substance Use Disorders. AEA Papers and Proceedings, 109, 187–192. https://doi.org/10.1257/pandp.20191090","Maclean, J. C., & Saloner, B. (2018). Substance Use Treatment Provider Behavior and Healthcare Reform: Evidence from Massachusetts. Health Economics, 27(1), 76–101. https://doi.org/10.1002/hec.3484","Harris, K. (2017). The Effect of State Parity Laws on How Providers Treat Substance Use Disorder. Monthly Labor Review, 1b. Retrieved from https://www.questia.com/library/journal/1G1-500009397/the-effect-of-state-parity-laws-on-how-providers-treat"
7,QCEW,,3,"Quarterly count of employment and wages reported by employers covering more than 95% of U.S. jobs available at the county, Metropolitan Statistical Area, state and national levels by detailed industry.",Jobs,L,1975,2019,3,https://www.bls.gov/cew/;,https://data.bls.gov/cew/doc/layouts/cty_high_level_layout.htm,"Currie, J., Jin, J. Y., & Schnell, M. (2018). U.S. Employment and Opioids: Is There a Connection? https://doi.org/10.3386/w24440",,
8,TEDS Discharge,,3,"A national data system of annual number and characteristics of person discharged from public and private substance abuse treatment programs that receive public funding, as reported by law to state substance abuse agencies by the treatment programs.",Harms,L,2006,2018,3,https://www.datafiles.samhsa.gov/study-dataset/teds-d-2017-ds0001-teds-d-2017-ds0001-nid18480,https://www.datafiles.samhsa.gov/sites/default/files/field-uploads-protected/studies/TEDS-D-2017/TEDS-D-2017-datasets/TEDS-D-2017-DS0001/TEDS-D-2017-DS0001-info/TEDS-D-2017-DS0001-info-codebook.pdf,"Askari, M. S., Martins, S. S., & Mauro, P. M. (2020). Medication for opioid use disorder treatment and specialty outpatient substance use treatment outcomes: Differences in retention and completion among opioid-related discharges in 2016. Journal of Substance Abuse Treatment, 114(October 2019), 108028. https://doi.org/10.1016/j.jsat.2020.108028","Stahler, G. J., Mennis, J., & DuCette, J. P. (2016). Residential and outpatient treatment completion for substance use disorders in the U.S.: Moderation analysis by demographics and drug of choice. Addictive Behaviors, 58, 129–135. https://doi.org/10.1016/j.addbeh.2016.02.030","Stahler, G. J., & Mennis, J. (2018). Treatment outcome disparities for opioid users: Are there racial and ethnic differences in treatment completion across large US metropolitan areas? Drug and Alcohol Dependence, 190(July), 170–178. https://doi.org/10.1016/j.drugalcdep.2018.06.006"
9,IPEDS,,3,"A national dataset of enrollments, completions and completers, graduation rates, faculty and staff, finances, institutional prices, student financial aid, admissions, and academic libraries as required to disclose by the Higher Education Act of 1965 from every college, university, and technical/vocational institution that participations in the federal student financial aid programs.",Jobs,L,1986,2018,3,https://nces.ed.gov/ipeds/; ,,"Aikins, R., Zhang, X., & McCabe, S. E. (2017). Academic Doping: Institutional Policies Regarding Nonmedical use of Prescription Stimulants in U.S. Higher Education. Journal of Academic Ethics, 15(3), 229–243. https://doi.org/10.1007/s10805-017-9291-0",,
